epoch (ms),time (06:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1601970684768,2020-10-06T10:51:24.768,1.620,-0.076,0.793,0.168
1601970684788,2020-10-06T10:51:24.788,1.640,-0.244,-0.457,0.427
1601970684808,2020-10-06T10:51:24.808,1.660,-1.280,-4.390,0.213
1601970684828,2020-10-06T10:51:24.828,1.680,-0.747,-3.216,0.229
1601970684848,2020-10-06T10:51:24.848,1.700,0.640,3.186,0.259
1601970684868,2020-10-06T10:51:24.868,1.720,0.595,3.262,0.107
1601970684888,2020-10-06T10:51:24.888,1.740,-1.479,-3.963,0.183
1601970684908,2020-10-06T10:51:24.908,1.760,-1.113,-3.003,0.335
1601970684928,2020-10-06T10:51:24.928,1.780,0.579,3.567,0.488
1601970684948,2020-10-06T10:51:24.948,1.800,-0.442,0.610,0.457
1601970684968,2020-10-06T10:51:24.968,1.820,-1.951,-5.107,0.381
1601970684988,2020-10-06T10:51:24.988,1.840,-1.067,-2.820,0.640
1601970685008,2020-10-06T10:51:25.008,1.860,0.137,1.128,0.732
1601970685028,2020-10-06T10:51:25.028,1.880,-0.915,-1.997,0.808
1601970685048,2020-10-06T10:51:25.048,1.900,-1.387,-4.345,0.808
1601970685068,2020-10-06T10:51:25.068,1.920,-0.412,-0.457,0.732
1601970685088,2020-10-06T10:51:25.088,1.940,-0.320,0.107,0.640
1601970685108,2020-10-06T10:51:25.108,1.960,-0.976,-1.768,0.564
1601970685128,2020-10-06T10:51:25.128,1.980,-0.457,0.076,0.625
1601970685148,2020-10-06T10:51:25.148,2.000,-0.290,1.037,0.793
1601970685168,2020-10-06T10:51:25.168,2.020,-0.960,-1.799,0.869
1601970685188,2020-10-06T10:51:25.188,2.040,-0.259,-0.351,0.899
1601970685208,2020-10-06T10:51:25.208,2.060,0.061,1.784,0.823
1601970685228,2020-10-06T10:51:25.228,2.080,-0.960,-1.692,0.732
1601970685248,2020-10-06T10:51:25.248,2.100,-1.250,-2.470,0.534
1601970685268,2020-10-06T10:51:25.268,2.120,-0.259,0.945,0.381
1601970685288,2020-10-06T10:51:25.288,2.140,-0.229,1.189,0.412
1601970685308,2020-10-06T10:51:25.308,2.160,-0.366,0.518,0.366
1601970685328,2020-10-06T10:51:25.328,2.180,-0.442,-0.610,0.473
1601970685348,2020-10-06T10:51:25.348,2.200,-0.442,-1.235,0.686
1601970685368,2020-10-06T10:51:25.368,2.220,-0.122,1.098,0.625
1601970685388,2020-10-06T10:51:25.388,2.240,-0.610,-0.930,0.595
1601970685408,2020-10-06T10:51:25.408,2.260,-0.930,-2.241,0.518
1601970685428,2020-10-06T10:51:25.428,2.280,0.274,1.448,0.412
1601970685448,2020-10-06T10:51:25.448,2.300,0.427,2.043,0.366
1601970685468,2020-10-06T10:51:25.468,2.320,-0.351,-1.250,0.518
1601970685488,2020-10-06T10:51:25.488,2.340,-0.549,-2.988,0.625
1601970685508,2020-10-06T10:51:25.508,2.360,0.305,-0.534,0.488
1601970685528,2020-10-06T10:51:25.528,2.380,0.122,-1.418,0.274
1601970685548,2020-10-06T10:51:25.548,2.400,-1.006,-4.680,0.442
1601970685568,2020-10-06T10:51:25.568,2.420,0.610,1.707,0.320
1601970685588,2020-10-06T10:51:25.588,2.440,2.165,7.012,0.305
1601970685608,2020-10-06T10:51:25.608,2.460,0.335,0.701,0.335
1601970685628,2020-10-06T10:51:25.628,2.480,-1.113,-4.558,0.442
1601970685648,2020-10-06T10:51:25.648,2.500,-0.808,-4.070,0.549
1601970685668,2020-10-06T10:51:25.668,2.520,-0.061,-1.265,0.381
1601970685688,2020-10-06T10:51:25.688,2.540,0.457,1.448,0.229
1601970685708,2020-10-06T10:51:25.708,2.560,0.046,0.290,0.244
1601970685728,2020-10-06T10:51:25.728,2.580,-0.335,-0.838,0.198
1601970685748,2020-10-06T10:51:25.748,2.600,0.152,1.250,0.213
1601970685768,2020-10-06T10:51:25.768,2.620,-0.015,0.183,0.274
1601970685788,2020-10-06T10:51:25.788,2.640,-0.549,-1.921,0.290
1601970685808,2020-10-06T10:51:25.808,2.660,-0.412,-1.311,0.305
1601970685828,2020-10-06T10:51:25.828,2.680,-0.076,0.000,0.229
1601970685848,2020-10-06T10:51:25.848,2.700,0.183,0.534,0.152
1601970685868,2020-10-06T10:51:25.868,2.720,-0.061,-0.777,0.183
1601970685888,2020-10-06T10:51:25.888,2.740,-0.183,-0.899,0.091
1601970685908,2020-10-06T10:51:25.908,2.760,0.168,0.351,0.229
1601970685928,2020-10-06T10:51:25.928,2.780,-0.320,-1.357,0.229
1601970685948,2020-10-06T10:51:25.948,2.800,-0.259,-1.890,0.168
1601970685968,2020-10-06T10:51:25.968,2.820,0.229,-0.442,0.152
1601970685988,2020-10-06T10:51:25.988,2.840,0.274,-1.463,0.152
1601970686008,2020-10-06T10:51:26.008,2.860,-0.579,-3.857,0.366
1601970686028,2020-10-06T10:51:26.028,2.880,0.366,-0.076,0.183
1601970686048,2020-10-06T10:51:26.048,2.900,0.915,2.409,0.305
1601970686068,2020-10-06T10:51:26.068,2.920,-0.549,-2.835,0.259
1601970686088,2020-10-06T10:51:26.088,2.940,-0.290,-2.119,0.213
1601970686108,2020-10-06T10:51:26.108,2.960,0.091,-0.488,0.366
1601970686128,2020-10-06T10:51:26.128,2.980,-0.320,-2.409,0.351
1601970686148,2020-10-06T10:51:26.148,3.000,-0.229,-0.869,0.290
1601970686168,2020-10-06T10:51:26.168,3.020,0.244,1.555,0.320
1601970686188,2020-10-06T10:51:26.188,3.040,0.015,1.494,0.335
1601970686208,2020-10-06T10:51:26.208,3.060,0.274,1.905,0.244
1601970686228,2020-10-06T10:51:26.228,3.080,0.091,0.122,0.351
1601970686248,2020-10-06T10:51:26.248,3.100,-0.732,-3.735,0.473
1601970686268,2020-10-06T10:51:26.268,3.120,-0.701,-3.049,0.488
1601970686288,2020-10-06T10:51:26.288,3.140,0.320,-0.015,0.229
1601970686308,2020-10-06T10:51:26.308,3.160,0.152,-1.037,0.198
1601970686328,2020-10-06T10:51:26.328,3.180,-0.274,-2.317,0.335
1601970686348,2020-10-06T10:51:26.348,3.200,0.320,0.976,0.396
1601970686368,2020-10-06T10:51:26.368,3.220,0.259,1.433,0.473
1601970686388,2020-10-06T10:51:26.388,3.240,-0.930,-2.881,0.716
1601970686408,2020-10-06T10:51:26.408,3.260,-0.320,0.091,0.442
1601970686428,2020-10-06T10:51:26.428,3.280,1.174,5.320,0.351
1601970686448,2020-10-06T10:51:26.448,3.300,-0.320,-0.549,0.320
1601970686468,2020-10-06T10:51:26.468,3.320,-0.366,-1.692,0.229
1601970686488,2020-10-06T10:51:26.488,3.340,0.595,1.509,0.335
1601970686508,2020-10-06T10:51:26.508,3.360,-0.259,-1.966,0.457
1601970686528,2020-10-06T10:51:26.528,3.380,-0.564,-3.445,0.396
1601970686548,2020-10-06T10:51:26.548,3.400,0.564,1.128,0.244
1601970686568,2020-10-06T10:51:26.568,3.420,0.198,-0.076,0.320
1601970686588,2020-10-06T10:51:26.588,3.440,-0.808,-4.101,0.305
1601970686608,2020-10-06T10:51:26.608,3.460,-0.076,-0.747,0.351
