epoch (ms),time (06:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1601970697868,2020-10-06T10:51:37.868,14.720,0.091,-0.503,0.335
1601970697888,2020-10-06T10:51:37.888,14.740,0.213,0.640,0.320
1601970697908,2020-10-06T10:51:37.908,14.760,-0.183,-1.357,0.335
1601970697928,2020-10-06T10:51:37.928,14.780,-0.137,-1.753,0.335
1601970697948,2020-10-06T10:51:37.948,14.800,0.381,-0.091,0.244
1601970697968,2020-10-06T10:51:37.968,14.820,0.305,0.122,0.198
1601970697988,2020-10-06T10:51:37.988,14.840,0.168,0.000,0.168
1601970698008,2020-10-06T10:51:38.008,14.860,0.137,0.488,0.274
1601970698028,2020-10-06T10:51:38.028,14.880,0.122,-0.351,0.305
1601970698048,2020-10-06T10:51:38.048,14.900,-0.168,-1.250,0.366
1601970698068,2020-10-06T10:51:38.068,14.920,0.000,-1.174,0.351
1601970698088,2020-10-06T10:51:38.088,14.940,0.061,-0.473,0.335
1601970698108,2020-10-06T10:51:38.108,14.960,0.137,0.152,0.274
1601970698128,2020-10-06T10:51:38.128,14.980,0.213,-0.137,0.305
1601970698148,2020-10-06T10:51:38.148,15.000,0.030,-0.701,0.290
1601970698168,2020-10-06T10:51:38.168,15.020,-0.076,-0.762,0.381
1601970698188,2020-10-06T10:51:38.188,15.040,-0.015,-0.244,0.412
1601970698208,2020-10-06T10:51:38.208,15.060,-0.030,-0.457,0.290
1601970698228,2020-10-06T10:51:38.228,15.080,-0.046,-1.311,0.320
1601970698248,2020-10-06T10:51:38.248,15.100,-0.229,-1.616,0.381
1601970698268,2020-10-06T10:51:38.268,15.120,0.198,0.564,0.305
1601970698288,2020-10-06T10:51:38.288,15.140,0.473,1.006,0.351
1601970698308,2020-10-06T10:51:38.308,15.160,-0.335,-2.058,0.290
1601970698328,2020-10-06T10:51:38.328,15.180,-0.305,-1.372,0.229
1601970698348,2020-10-06T10:51:38.348,15.200,0.503,1.540,0.396
1601970698368,2020-10-06T10:51:38.368,15.220,0.122,0.015,0.518
1601970698388,2020-10-06T10:51:38.388,15.240,-0.686,-3.277,0.473
1601970698408,2020-10-06T10:51:38.408,15.260,-0.168,-1.220,0.274
1601970698428,2020-10-06T10:51:38.428,15.280,0.655,1.753,0.076
1601970698448,2020-10-06T10:51:38.448,15.300,0.183,0.488,0.244
1601970698468,2020-10-06T10:51:38.468,15.320,-0.152,-0.960,0.335
1601970698488,2020-10-06T10:51:38.488,15.340,-0.168,-1.250,0.518
1601970698508,2020-10-06T10:51:38.508,15.360,-0.442,-2.546,0.595
1601970698528,2020-10-06T10:51:38.528,15.380,-0.274,-1.402,0.381
1601970698548,2020-10-06T10:51:38.548,15.400,0.503,1.601,0.229
1601970698568,2020-10-06T10:51:38.568,15.420,0.351,0.640,0.244
1601970698588,2020-10-06T10:51:38.588,15.440,-0.518,-2.744,0.320
1601970698608,2020-10-06T10:51:38.608,15.460,-0.488,-2.485,0.366
1601970698628,2020-10-06T10:51:38.628,15.480,0.305,0.716,0.396
1601970698648,2020-10-06T10:51:38.648,15.500,0.244,0.595,0.274
1601970698668,2020-10-06T10:51:38.668,15.520,-0.366,-1.296,0.229
1601970698688,2020-10-06T10:51:38.688,15.540,-0.183,-1.189,0.259
1601970698708,2020-10-06T10:51:38.708,15.560,0.274,-0.351,0.229
1601970698728,2020-10-06T10:51:38.728,15.580,0.122,-0.640,0.274
1601970698748,2020-10-06T10:51:38.748,15.600,-0.122,-0.655,0.305
1601970698768,2020-10-06T10:51:38.768,15.620,-0.122,-0.396,0.305
1601970698788,2020-10-06T10:51:38.788,15.640,-0.244,-0.930,0.320
1601970698808,2020-10-06T10:51:38.808,15.660,-0.015,-0.488,0.396
1601970698828,2020-10-06T10:51:38.828,15.680,-0.015,-0.290,0.381
1601970698848,2020-10-06T10:51:38.848,15.700,-0.061,-0.991,0.366
1601970698868,2020-10-06T10:51:38.868,15.720,-0.137,-1.311,0.381
1601970698888,2020-10-06T10:51:38.888,15.740,0.046,-0.412,0.305
1601970698908,2020-10-06T10:51:38.908,15.760,0.137,0.412,0.290
1601970698928,2020-10-06T10:51:38.928,15.780,0.122,0.168,0.320
1601970698948,2020-10-06T10:51:38.948,15.800,-0.259,-1.707,0.366
1601970698968,2020-10-06T10:51:38.968,15.820,-0.396,-2.546,0.427
1601970698988,2020-10-06T10:51:38.988,15.840,0.015,-0.549,0.396
1601970699008,2020-10-06T10:51:39.008,15.860,0.213,0.412,0.290
1601970699028,2020-10-06T10:51:39.028,15.880,0.046,0.015,0.198
1601970699048,2020-10-06T10:51:39.048,15.900,-0.091,-1.280,0.259
1601970699068,2020-10-06T10:51:39.068,15.920,-0.122,-1.311,0.274
1601970699088,2020-10-06T10:51:39.088,15.940,0.244,0.366,0.305
1601970699108,2020-10-06T10:51:39.108,15.960,0.290,0.274,0.396
1601970699128,2020-10-06T10:51:39.128,15.980,-0.503,-2.530,0.457
1601970699148,2020-10-06T10:51:39.148,16.000,-0.381,-2.302,0.366
1601970699168,2020-10-06T10:51:39.168,16.020,0.351,0.518,0.259
1601970699188,2020-10-06T10:51:39.188,16.040,0.335,0.808,0.183
1601970699208,2020-10-06T10:51:39.208,16.060,0.152,-0.320,0.183
1601970699228,2020-10-06T10:51:39.228,16.080,0.046,-0.396,0.305
1601970699248,2020-10-06T10:51:39.248,16.100,-0.381,-1.280,0.381
1601970699268,2020-10-06T10:51:39.268,16.120,-0.290,-1.570,0.427
1601970699288,2020-10-06T10:51:39.288,16.140,0.107,-0.366,0.396
1601970699308,2020-10-06T10:51:39.308,16.160,0.046,-0.015,0.351
1601970699328,2020-10-06T10:51:39.328,16.180,0.122,0.061,0.290
1601970699348,2020-10-06T10:51:39.348,16.200,0.091,-0.335,0.229
1601970699368,2020-10-06T10:51:39.368,16.220,-0.122,-1.509,0.320
1601970699388,2020-10-06T10:51:39.388,16.240,-0.015,-0.549,0.335
1601970699408,2020-10-06T10:51:39.408,16.260,0.091,-0.152,0.335
1601970699428,2020-10-06T10:51:39.428,16.280,-0.274,-1.524,0.290
1601970699448,2020-10-06T10:51:39.448,16.300,-0.030,-1.052,0.259
1601970699468,2020-10-06T10:51:39.468,16.320,0.473,0.625,0.198
1601970699488,2020-10-06T10:51:39.488,16.340,0.168,-0.122,0.213
1601970699508,2020-10-06T10:51:39.508,16.360,-0.305,-1.890,0.320
1601970699528,2020-10-06T10:51:39.528,16.380,-0.076,-0.610,0.381
1601970699548,2020-10-06T10:51:39.548,16.400,0.427,1.204,0.351
1601970699568,2020-10-06T10:51:39.568,16.420,-0.152,-1.235,0.335
1601970699588,2020-10-06T10:51:39.588,16.440,-0.518,-2.576,0.320
1601970699608,2020-10-06T10:51:39.608,16.460,0.229,0.412,0.259
1601970699628,2020-10-06T10:51:39.628,16.480,0.366,1.021,0.274
1601970699648,2020-10-06T10:51:39.648,16.500,-0.381,-1.875,0.320
1601970699668,2020-10-06T10:51:39.668,16.520,-0.320,-1.540,0.351
1601970699688,2020-10-06T10:51:39.688,16.540,0.213,0.351,0.320
1601970699708,2020-10-06T10:51:39.708,16.560,-0.015,-0.838,0.290
1601970699728,2020-10-06T10:51:39.728,16.580,-0.213,-1.524,0.229
1601970699748,2020-10-06T10:51:39.748,16.600,0.229,0.351,0.274
1601970699768,2020-10-06T10:51:39.768,16.620,0.244,0.320,0.396
1601970699788,2020-10-06T10:51:39.788,16.640,-0.213,-1.784,0.396
1601970699808,2020-10-06T10:51:39.808,16.660,-0.244,-1.921,0.412
1601970699828,2020-10-06T10:51:39.828,16.680,0.061,0.229,0.274
1601970699848,2020-10-06T10:51:39.848,16.700,0.518,1.037,0.168
1601970699868,2020-10-06T10:51:39.868,16.720,0.442,0.503,0.168
1601970699888,2020-10-06T10:51:39.888,16.740,0.351,-0.290,0.244
1601970699908,2020-10-06T10:51:39.908,16.760,0.061,-1.174,0.366
1601970699928,2020-10-06T10:51:39.928,16.780,-0.549,-2.637,0.381
1601970699948,2020-10-06T10:51:39.948,16.800,-0.213,-1.280,0.396
1601970699968,2020-10-06T10:51:39.968,16.820,0.107,-0.152,0.320
1601970699988,2020-10-06T10:51:39.988,16.840,0.091,-0.213,0.213
1601970700008,2020-10-06T10:51:40.008,16.860,0.320,0.518,0.183
1601970700028,2020-10-06T10:51:40.028,16.880,0.244,0.457,0.244
1601970700048,2020-10-06T10:51:40.048,16.900,-0.213,-1.662,0.427
1601970700068,2020-10-06T10:51:40.068,16.920,-0.412,-2.256,0.427
1601970700088,2020-10-06T10:51:40.088,16.940,0.107,-0.274,0.396
1601970700108,2020-10-06T10:51:40.108,16.960,0.198,0.168,0.290
1601970700128,2020-10-06T10:51:40.128,16.980,-0.168,-0.701,0.244
1601970700148,2020-10-06T10:51:40.148,17.000,-0.183,-0.869,0.305
1601970700168,2020-10-06T10:51:40.168,17.020,0.107,-0.305,0.290
1601970700188,2020-10-06T10:51:40.188,17.040,0.320,0.549,0.335
1601970700208,2020-10-06T10:51:40.208,17.060,-0.107,-0.854,0.366
1601970700228,2020-10-06T10:51:40.228,17.080,-0.534,-2.607,0.335
1601970700248,2020-10-06T10:51:40.248,17.100,-0.046,-0.534,0.259
1601970700268,2020-10-06T10:51:40.268,17.120,0.534,0.960,0.183
1601970700288,2020-10-06T10:51:40.288,17.140,0.046,-0.976,0.152
1601970700308,2020-10-06T10:51:40.308,17.160,-0.213,-1.738,0.244
1601970700328,2020-10-06T10:51:40.328,17.180,-0.076,-0.915,0.427
1601970700348,2020-10-06T10:51:40.348,17.200,-0.076,-0.686,0.396
1601970700368,2020-10-06T10:51:40.368,17.220,0.015,-0.518,0.335
1601970700388,2020-10-06T10:51:40.388,17.240,0.076,-0.625,0.274
1601970700408,2020-10-06T10:51:40.408,17.260,0.061,-0.793,0.305
1601970700428,2020-10-06T10:51:40.428,17.280,0.107,-0.442,0.320
1601970700448,2020-10-06T10:51:40.448,17.300,0.076,-0.381,0.335
1601970700468,2020-10-06T10:51:40.468,17.320,-0.107,-1.448,0.366
1601970700488,2020-10-06T10:51:40.488,17.340,-0.061,-1.341,0.396
1601970700508,2020-10-06T10:51:40.508,17.360,0.198,0.076,0.305
1601970700528,2020-10-06T10:51:40.528,17.380,0.198,0.107,0.305
1601970700548,2020-10-06T10:51:40.548,17.400,0.030,-0.655,0.305
1601970700568,2020-10-06T10:51:40.568,17.420,0.046,-0.793,0.442
1601970700588,2020-10-06T10:51:40.588,17.440,-0.107,-1.418,0.518
1601970700608,2020-10-06T10:51:40.608,17.460,-0.259,-1.784,0.473
1601970700628,2020-10-06T10:51:40.628,17.480,0.183,-0.366,0.305
1601970700648,2020-10-06T10:51:40.648,17.500,0.427,1.067,0.152
1601970700668,2020-10-06T10:51:40.668,17.520,0.091,-1.250,0.213
1601970700688,2020-10-06T10:51:40.688,17.540,-0.229,-2.485,0.198
1601970700708,2020-10-06T10:51:40.708,17.560,0.381,0.015,0.259
1601970700728,2020-10-06T10:51:40.728,17.580,0.518,0.793,0.396
1601970700748,2020-10-06T10:51:40.748,17.600,-0.244,-1.997,0.427
1601970700768,2020-10-06T10:51:40.768,17.620,-0.488,-2.942,0.442
1601970700788,2020-10-06T10:51:40.788,17.640,0.076,-0.427,0.305
1601970700808,2020-10-06T10:51:40.808,17.660,0.534,1.143,0.168
1601970700828,2020-10-06T10:51:40.828,17.680,0.198,-0.442,0.229
1601970700848,2020-10-06T10:51:40.848,17.700,0.076,-0.808,0.244
1601970700868,2020-10-06T10:51:40.868,17.720,0.229,0.030,0.335
1601970700888,2020-10-06T10:51:40.888,17.740,-0.030,-1.387,0.427
1601970700908,2020-10-06T10:51:40.908,17.760,-0.274,-1.982,0.381
1601970700928,2020-10-06T10:51:40.928,17.780,0.198,0.122,0.259
1601970700948,2020-10-06T10:51:40.948,17.800,0.396,0.823,0.274
1601970700968,2020-10-06T10:51:40.968,17.820,0.000,-1.448,0.274
1601970700988,2020-10-06T10:51:40.988,17.840,-0.137,-1.860,0.335
1601970701008,2020-10-06T10:51:41.008,17.860,0.442,0.960,0.290
1601970701028,2020-10-06T10:51:41.028,17.880,0.305,0.701,0.259
1601970701048,2020-10-06T10:51:41.048,17.900,-0.366,-2.393,0.229
1601970701068,2020-10-06T10:51:41.068,17.920,-0.122,-1.784,0.229
1601970701088,2020-10-06T10:51:41.088,17.940,0.412,0.991,0.198
1601970701108,2020-10-06T10:51:41.108,17.960,0.381,0.518,0.213
1601970701128,2020-10-06T10:51:41.128,17.980,-0.213,-1.707,0.213
1601970701148,2020-10-06T10:51:41.148,18.000,0.000,-0.808,0.259
1601970701168,2020-10-06T10:51:41.168,18.020,0.305,0.518,0.351
1601970701188,2020-10-06T10:51:41.188,18.040,-0.091,-1.143,0.396
1601970701208,2020-10-06T10:51:41.208,18.060,-0.198,-1.814,0.351
1601970701228,2020-10-06T10:51:41.228,18.080,0.259,-0.518,0.305
1601970701248,2020-10-06T10:51:41.248,18.100,0.061,-1.098,0.305
1601970701268,2020-10-06T10:51:41.268,18.120,-0.030,-1.265,0.274
1601970701288,2020-10-06T10:51:41.288,18.140,0.335,0.640,0.274
1601970701308,2020-10-06T10:51:41.308,18.160,0.213,0.305,0.305
1601970701328,2020-10-06T10:51:41.328,18.180,-0.305,-1.707,0.335
1601970701348,2020-10-06T10:51:41.348,18.200,-0.122,-1.402,0.366
1601970701368,2020-10-06T10:51:41.368,18.220,0.274,-0.351,0.335
1601970701388,2020-10-06T10:51:41.388,18.240,0.061,-0.823,0.259
1601970701408,2020-10-06T10:51:41.408,18.260,0.229,0.732,0.290
1601970701428,2020-10-06T10:51:41.428,18.280,-0.015,-0.732,0.366
1601970701448,2020-10-06T10:51:41.448,18.300,-0.579,-2.500,0.259
1601970701468,2020-10-06T10:51:41.468,18.320,0.198,0.518,0.229
1601970701488,2020-10-06T10:51:41.488,18.340,0.732,2.027,0.442
1601970701508,2020-10-06T10:51:41.508,18.360,-0.427,-2.683,0.579
1601970701528,2020-10-06T10:51:41.528,18.380,-0.899,-4.360,0.473
1601970701548,2020-10-06T10:51:41.548,18.400,0.457,0.838,0.290
1601970701568,2020-10-06T10:51:41.568,18.420,0.732,2.027,0.122
1601970701588,2020-10-06T10:51:41.588,18.440,-0.061,-1.006,0.198
1601970701608,2020-10-06T10:51:41.608,18.460,0.015,-0.655,0.381
1601970701628,2020-10-06T10:51:41.628,18.480,0.046,-0.595,0.534
1601970701648,2020-10-06T10:51:41.648,18.500,-0.625,-3.232,0.488
1601970701668,2020-10-06T10:51:41.668,18.520,-0.320,-1.677,0.366
1601970701688,2020-10-06T10:51:41.688,18.540,0.625,2.195,0.290
1601970701708,2020-10-06T10:51:41.708,18.560,0.320,0.732,0.320
1601970701728,2020-10-06T10:51:41.728,18.580,-0.473,-2.470,0.320
1601970701748,2020-10-06T10:51:41.748,18.600,-0.320,-1.646,0.412
1601970701768,2020-10-06T10:51:41.768,18.620,0.320,0.762,0.427
1601970701788,2020-10-06T10:51:41.788,18.640,0.076,-0.122,0.274
1601970701808,2020-10-06T10:51:41.808,18.660,-0.335,-1.753,0.290
1601970701828,2020-10-06T10:51:41.828,18.680,-0.122,-1.052,0.320
1601970701848,2020-10-06T10:51:41.848,18.700,0.412,0.595,0.229
1601970701868,2020-10-06T10:51:41.868,18.720,0.107,-0.198,0.229
1601970701888,2020-10-06T10:51:41.888,18.740,-0.351,-1.738,0.335
1601970701908,2020-10-06T10:51:41.908,18.760,-0.259,-1.067,0.366
1601970701928,2020-10-06T10:51:41.928,18.780,0.198,-0.030,0.396
1601970701948,2020-10-06T10:51:41.948,18.800,-0.122,-0.716,0.366
1601970701968,2020-10-06T10:51:41.968,18.820,-0.290,-1.341,0.351
1601970701988,2020-10-06T10:51:41.988,18.840,0.076,-0.396,0.320
1601970702008,2020-10-06T10:51:42.008,18.860,0.107,-0.046,0.274
1601970702028,2020-10-06T10:51:42.028,18.880,0.030,-0.686,0.244
1601970702048,2020-10-06T10:51:42.048,18.900,-0.091,-1.220,0.290
1601970702068,2020-10-06T10:51:42.068,18.920,-0.107,-0.960,0.396
1601970702088,2020-10-06T10:51:42.088,18.940,-0.061,-0.671,0.427
1601970702108,2020-10-06T10:51:42.108,18.960,0.030,-0.351,0.366
1601970702128,2020-10-06T10:51:42.128,18.980,0.107,-0.457,0.366
1601970702148,2020-10-06T10:51:42.148,19.000,-0.091,-0.503,0.290
1601970702168,2020-10-06T10:51:42.168,19.020,-0.122,-0.655,0.320
1601970702188,2020-10-06T10:51:42.188,19.040,0.091,-0.610,0.290
1601970702208,2020-10-06T10:51:42.208,19.060,0.046,-0.671,0.259
1601970702228,2020-10-06T10:51:42.228,19.080,0.107,-0.549,0.366
1601970702248,2020-10-06T10:51:42.248,19.100,-0.107,-0.854,0.473
1601970702268,2020-10-06T10:51:42.268,19.120,-0.335,-2.043,0.396
1601970702288,2020-10-06T10:51:42.288,19.140,0.015,-1.387,0.305
1601970702308,2020-10-06T10:51:42.308,19.160,0.183,0.076,0.152
1601970702328,2020-10-06T10:51:42.328,19.180,0.122,-0.229,0.168
1601970702348,2020-10-06T10:51:42.348,19.200,0.122,0.000,0.213
1601970702368,2020-10-06T10:51:42.368,19.220,0.274,0.274,0.351
1601970702388,2020-10-06T10:51:42.388,19.240,-0.366,-1.951,0.442
1601970702408,2020-10-06T10:51:42.408,19.260,-0.610,-2.424,0.427
1601970702428,2020-10-06T10:51:42.428,19.280,0.168,-0.076,0.335
1601970702448,2020-10-06T10:51:42.448,19.300,0.259,0.686,0.259
1601970702468,2020-10-06T10:51:42.468,19.320,0.030,-0.396,0.229
1601970702488,2020-10-06T10:51:42.488,19.340,-0.168,-1.418,0.244
1601970702508,2020-10-06T10:51:42.508,19.360,0.046,-0.640,0.305
1601970702528,2020-10-06T10:51:42.528,19.380,0.244,0.518,0.320
1601970702548,2020-10-06T10:51:42.548,19.400,-0.274,-1.052,0.335
1601970702568,2020-10-06T10:51:42.568,19.420,-0.335,-2.073,0.259
1601970702588,2020-10-06T10:51:42.588,19.440,0.076,-0.762,0.213
1601970702608,2020-10-06T10:51:42.608,19.460,0.351,0.640,0.183
1601970702628,2020-10-06T10:51:42.628,19.480,0.381,0.655,0.183
1601970702648,2020-10-06T10:51:42.648,19.500,-0.076,-0.899,0.305
1601970702668,2020-10-06T10:51:42.668,19.520,-0.366,-1.768,0.442
1601970702688,2020-10-06T10:51:42.688,19.540,-0.091,-0.564,0.412
1601970702708,2020-10-06T10:51:42.708,19.560,-0.015,-0.198,0.274
1601970702728,2020-10-06T10:51:42.728,19.580,-0.061,-0.777,0.244
1601970702748,2020-10-06T10:51:42.748,19.600,0.107,-0.564,0.274
1601970702768,2020-10-06T10:51:42.768,19.620,0.152,-0.305,0.244
1601970702788,2020-10-06T10:51:42.788,19.640,0.000,-1.082,0.320
1601970702808,2020-10-06T10:51:42.808,19.660,-0.290,-1.997,0.351
1601970702828,2020-10-06T10:51:42.828,19.680,-0.091,-0.793,0.244
1601970702848,2020-10-06T10:51:42.848,19.700,0.244,1.037,0.137
1601970702868,2020-10-06T10:51:42.868,19.720,0.305,0.686,0.213
1601970702888,2020-10-06T10:51:42.888,19.740,-0.152,-1.662,0.351
1601970702908,2020-10-06T10:51:42.908,19.760,-0.244,-2.271,0.442
1601970702928,2020-10-06T10:51:42.928,19.780,0.107,-0.747,0.381
1601970702948,2020-10-06T10:51:42.948,19.800,0.091,-0.381,0.274
1601970702968,2020-10-06T10:51:42.968,19.820,-0.168,-1.357,0.274
1601970702988,2020-10-06T10:51:42.988,19.840,0.244,-0.076,0.213
1601970703008,2020-10-06T10:51:43.008,19.860,0.412,0.838,0.229
1601970703028,2020-10-06T10:51:43.028,19.880,0.168,0.061,0.396
1601970703048,2020-10-06T10:51:43.048,19.900,-0.137,-1.372,0.412
1601970703068,2020-10-06T10:51:43.068,19.920,-0.168,-1.646,0.427
1601970703088,2020-10-06T10:51:43.088,19.940,0.183,-0.732,0.335
1601970703108,2020-10-06T10:51:43.108,19.960,0.091,-0.838,0.213
1601970703128,2020-10-06T10:51:43.128,19.980,0.091,-0.716,0.152
1601970703148,2020-10-06T10:51:43.148,20.000,0.518,1.082,0.229
1601970703168,2020-10-06T10:51:43.168,20.020,0.244,-0.122,0.305
1601970703188,2020-10-06T10:51:43.188,20.040,-0.518,-2.485,0.442
1601970703208,2020-10-06T10:51:43.208,20.060,-0.137,-1.082,0.396
1601970703228,2020-10-06T10:51:43.228,20.080,0.412,0.991,0.244
1601970703248,2020-10-06T10:51:43.248,20.100,0.274,0.122,0.259
1601970703268,2020-10-06T10:51:43.268,20.120,-0.107,-1.341,0.290
1601970703288,2020-10-06T10:51:43.288,20.140,-0.122,-1.128,0.366
1601970703308,2020-10-06T10:51:43.308,20.160,0.183,0.244,0.351
1601970703328,2020-10-06T10:51:43.328,20.180,0.076,-0.076,0.366
1601970703348,2020-10-06T10:51:43.348,20.200,-0.305,-1.524,0.396
1601970703368,2020-10-06T10:51:43.368,20.220,-0.152,-1.341,0.351
1601970703388,2020-10-06T10:51:43.388,20.240,0.183,-0.213,0.274
1601970703408,2020-10-06T10:51:43.408,20.260,0.381,0.488,0.183
1601970703428,2020-10-06T10:51:43.428,20.280,0.259,-0.046,0.290
1601970703448,2020-10-06T10:51:43.448,20.300,0.000,-1.128,0.381
1601970703468,2020-10-06T10:51:43.468,20.320,-0.168,-1.357,0.457
1601970703488,2020-10-06T10:51:43.488,20.340,0.122,-0.320,0.442
1601970703508,2020-10-06T10:51:43.508,20.360,-0.015,-0.747,0.366
1601970703528,2020-10-06T10:51:43.528,20.380,0.000,-1.189,0.305
1601970703548,2020-10-06T10:51:43.548,20.400,0.396,0.076,0.259
1601970703568,2020-10-06T10:51:43.568,20.420,0.290,-0.046,0.320
1601970703588,2020-10-06T10:51:43.588,20.440,-0.091,-0.884,0.396
1601970703608,2020-10-06T10:51:43.608,20.460,-0.168,-1.098,0.488
1601970703628,2020-10-06T10:51:43.628,20.480,-0.030,-1.387,0.427
1601970703648,2020-10-06T10:51:43.648,20.500,0.091,-0.716,0.305
1601970703668,2020-10-06T10:51:43.668,20.520,0.396,0.290,0.229
1601970703688,2020-10-06T10:51:43.688,20.540,0.198,-0.046,0.351
1601970703708,2020-10-06T10:51:43.708,20.560,-0.015,-1.082,0.427
1601970703728,2020-10-06T10:51:43.728,20.580,-0.137,-1.601,0.427
1601970703748,2020-10-06T10:51:43.748,20.600,0.046,-1.159,0.366
1601970703768,2020-10-06T10:51:43.768,20.620,0.412,0.549,0.213
1601970703788,2020-10-06T10:51:43.788,20.640,0.122,-0.671,0.229
1601970703808,2020-10-06T10:51:43.808,20.660,-0.259,-2.119,0.244
1601970703828,2020-10-06T10:51:43.828,20.680,0.091,-0.351,0.244
1601970703848,2020-10-06T10:51:43.848,20.700,0.610,1.220,0.366
1601970703868,2020-10-06T10:51:43.868,20.720,-0.015,-1.204,0.503
1601970703888,2020-10-06T10:51:43.888,20.740,-0.640,-3.552,0.442
1601970703908,2020-10-06T10:51:43.908,20.760,0.000,-1.021,0.320
1601970703928,2020-10-06T10:51:43.928,20.780,0.610,1.692,0.152
1601970703948,2020-10-06T10:51:43.948,20.800,0.457,0.793,0.183
1601970703968,2020-10-06T10:51:43.968,20.820,0.061,-1.143,0.259
1601970703988,2020-10-06T10:51:43.988,20.840,-0.168,-1.341,0.427
1601970704008,2020-10-06T10:51:44.008,20.860,-0.305,-1.799,0.427
1601970704028,2020-10-06T10:51:44.028,20.880,-0.091,-1.723,0.351
1601970704048,2020-10-06T10:51:44.048,20.900,0.198,-0.030,0.305
1601970704068,2020-10-06T10:51:44.068,20.920,0.305,0.808,0.213
1601970704088,2020-10-06T10:51:44.088,20.940,0.152,0.061,0.229
1601970704108,2020-10-06T10:51:44.108,20.960,-0.030,-1.326,0.335
1601970704128,2020-10-06T10:51:44.128,20.980,-0.076,-1.067,0.320
1601970704148,2020-10-06T10:51:44.148,21.000,0.244,0.015,0.335
1601970704168,2020-10-06T10:51:44.168,21.020,0.091,-0.991,0.290
1601970704188,2020-10-06T10:51:44.188,21.040,-0.351,-2.195,0.244
1601970704208,2020-10-06T10:51:44.208,21.060,0.000,-1.021,0.229
1601970704228,2020-10-06T10:51:44.228,21.080,0.473,1.037,0.168
1601970704248,2020-10-06T10:51:44.248,21.100,0.412,1.021,0.198
1601970704268,2020-10-06T10:51:44.268,21.120,-0.061,-0.899,0.274
1601970704288,2020-10-06T10:51:44.288,21.140,-0.122,-0.915,0.335
1601970704308,2020-10-06T10:51:44.308,21.160,0.274,0.930,0.290
1601970704328,2020-10-06T10:51:44.328,21.180,0.198,-0.213,0.351
1601970704348,2020-10-06T10:51:44.348,21.200,-0.335,-2.012,0.366
1601970704368,2020-10-06T10:51:44.368,21.220,-0.046,-0.564,0.290
1601970704388,2020-10-06T10:51:44.388,21.240,0.534,1.098,0.244
1601970704408,2020-10-06T10:51:44.408,21.260,0.000,-0.534,0.213
1601970704428,2020-10-06T10:51:44.428,21.280,-0.290,-1.616,0.305
1601970704448,2020-10-06T10:51:44.448,21.300,0.061,-0.595,0.412
1601970704468,2020-10-06T10:51:44.468,21.320,-0.061,-0.945,0.457
1601970704488,2020-10-06T10:51:44.488,21.340,-0.061,-1.220,0.381
1601970704508,2020-10-06T10:51:44.508,21.360,0.229,0.061,0.351
1601970704528,2020-10-06T10:51:44.528,21.380,0.290,0.335,0.290
1601970704548,2020-10-06T10:51:44.548,21.400,-0.381,-1.982,0.351
1601970704568,2020-10-06T10:51:44.568,21.420,-0.244,-1.616,0.305
1601970704588,2020-10-06T10:51:44.588,21.440,0.473,1.479,0.305
1601970704608,2020-10-06T10:51:44.608,21.460,0.244,0.610,0.412
1601970704628,2020-10-06T10:51:44.628,21.480,-0.305,-2.180,0.534
1601970704648,2020-10-06T10:51:44.648,21.500,-0.320,-2.530,0.457
1601970704668,2020-10-06T10:51:44.668,21.520,0.061,-1.067,0.335
1601970704688,2020-10-06T10:51:44.688,21.540,0.152,0.244,0.091
1601970704708,2020-10-06T10:51:44.708,21.560,0.351,1.174,0.137
1601970704728,2020-10-06T10:51:44.728,21.580,0.290,0.152,0.351
1601970704748,2020-10-06T10:51:44.748,21.600,-0.518,-2.378,0.534
1601970704768,2020-10-06T10:51:44.768,21.620,-0.518,-2.378,0.457
1601970704788,2020-10-06T10:51:44.788,21.640,0.107,-0.137,0.396
1601970704808,2020-10-06T10:51:44.808,21.660,0.244,-0.076,0.290
1601970704828,2020-10-06T10:51:44.828,21.680,0.183,0.015,0.305
1601970704848,2020-10-06T10:51:44.848,21.700,0.107,-0.046,0.320
1601970704868,2020-10-06T10:51:44.868,21.720,-0.381,-2.058,0.290
1601970704888,2020-10-06T10:51:44.888,21.740,-0.198,-1.418,0.335
1601970704908,2020-10-06T10:51:44.908,21.760,0.412,0.960,0.335
1601970704928,2020-10-06T10:51:44.928,21.780,0.076,-0.152,0.305
1601970704948,2020-10-06T10:51:44.948,21.800,-0.381,-2.043,0.320
1601970704968,2020-10-06T10:51:44.968,21.820,0.076,-0.427,0.335
1601970704988,2020-10-06T10:51:44.988,21.840,0.564,1.402,0.259
1601970705008,2020-10-06T10:51:45.008,21.860,0.061,-0.625,0.259
1601970705028,2020-10-06T10:51:45.028,21.880,-0.488,-2.744,0.381
1601970705048,2020-10-06T10:51:45.048,21.900,-0.229,-0.838,0.427
1601970705068,2020-10-06T10:51:45.068,21.920,0.366,1.387,0.381
1601970705088,2020-10-06T10:51:45.088,21.940,-0.076,-0.884,0.351
1601970705108,2020-10-06T10:51:45.108,21.960,-0.503,-2.515,0.290
1601970705128,2020-10-06T10:51:45.128,21.980,0.122,-0.229,0.366
1601970705148,2020-10-06T10:51:45.148,22.000,0.366,0.869,0.290
