epoch (ms),time (06:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1601970684832,2020-10-06T10:51:24.832,1.660,0.055,-0.009,1.022
1601970684852,2020-10-06T10:51:24.852,1.680,0.041,-0.009,1.018
1601970684872,2020-10-06T10:51:24.872,1.700,0.031,-0.006,1.009
1601970684892,2020-10-06T10:51:24.892,1.720,0.042,-0.007,1.017
1601970684912,2020-10-06T10:51:24.912,1.740,0.047,-0.011,1.026
1601970684932,2020-10-06T10:51:24.932,1.760,0.036,-0.008,1.019
1601970684952,2020-10-06T10:51:24.952,1.780,0.033,-0.009,1.011
1601970684972,2020-10-06T10:51:24.972,1.800,0.044,-0.013,1.018
1601970684992,2020-10-06T10:51:24.992,1.820,0.047,-0.014,1.020
1601970685012,2020-10-06T10:51:25.012,1.840,0.039,-0.009,1.017
1601970685032,2020-10-06T10:51:25.032,1.860,0.042,-0.010,1.018
1601970685052,2020-10-06T10:51:25.052,1.880,0.049,-0.013,1.018
1601970685072,2020-10-06T10:51:25.072,1.900,0.045,-0.011,1.017
1601970685092,2020-10-06T10:51:25.092,1.920,0.043,-0.008,1.016
1601970685112,2020-10-06T10:51:25.112,1.940,0.047,-0.012,1.017
1601970685132,2020-10-06T10:51:25.132,1.960,0.046,-0.014,1.021
1601970685152,2020-10-06T10:51:25.152,1.980,0.043,-0.009,1.020
1601970685172,2020-10-06T10:51:25.172,2.000,0.044,-0.013,1.015
1601970685192,2020-10-06T10:51:25.192,2.020,0.042,-0.013,1.016
1601970685212,2020-10-06T10:51:25.212,2.040,0.038,-0.011,1.019
1601970685232,2020-10-06T10:51:25.232,2.060,0.042,-0.013,1.018
1601970685252,2020-10-06T10:51:25.252,2.080,0.048,-0.015,1.017
1601970685272,2020-10-06T10:51:25.272,2.100,0.045,-0.012,1.019
1601970685292,2020-10-06T10:51:25.292,2.120,0.042,-0.013,1.017
1601970685312,2020-10-06T10:51:25.312,2.140,0.040,-0.013,1.014
1601970685332,2020-10-06T10:51:25.332,2.160,0.042,-0.014,1.017
1601970685352,2020-10-06T10:51:25.352,2.180,0.042,-0.014,1.018
1601970685372,2020-10-06T10:51:25.372,2.200,0.041,-0.014,1.021
1601970685392,2020-10-06T10:51:25.392,2.220,0.045,-0.015,1.020
1601970685412,2020-10-06T10:51:25.412,2.240,0.050,-0.018,1.021
1601970685432,2020-10-06T10:51:25.432,2.260,0.043,-0.015,1.015
1601970685452,2020-10-06T10:51:25.452,2.280,0.035,-0.013,1.012
1601970685472,2020-10-06T10:51:25.472,2.300,0.038,-0.015,1.014
1601970685492,2020-10-06T10:51:25.492,2.320,0.044,-0.017,1.017
1601970685512,2020-10-06T10:51:25.512,2.340,0.039,-0.017,1.018
1601970685532,2020-10-06T10:51:25.532,2.360,0.043,-0.013,1.015
1601970685552,2020-10-06T10:51:25.552,2.380,0.060,-0.016,1.019
1601970685572,2020-10-06T10:51:25.572,2.400,0.054,-0.015,1.025
1601970685592,2020-10-06T10:51:25.592,2.420,0.037,-0.010,1.017
1601970685612,2020-10-06T10:51:25.612,2.440,0.027,-0.011,1.014
1601970685632,2020-10-06T10:51:25.632,2.460,0.039,-0.016,1.020
1601970685652,2020-10-06T10:51:25.652,2.480,0.049,-0.018,1.021
1601970685672,2020-10-06T10:51:25.672,2.500,0.049,-0.017,1.018
1601970685692,2020-10-06T10:51:25.692,2.520,0.043,-0.014,1.019
1601970685712,2020-10-06T10:51:25.712,2.540,0.043,-0.015,1.019
1601970685732,2020-10-06T10:51:25.732,2.560,0.042,-0.016,1.018
1601970685752,2020-10-06T10:51:25.752,2.580,0.039,-0.017,1.015
1601970685772,2020-10-06T10:51:25.772,2.600,0.039,-0.016,1.015
1601970685792,2020-10-06T10:51:25.792,2.620,0.044,-0.015,1.019
1601970685812,2020-10-06T10:51:25.812,2.640,0.045,-0.016,1.020
1601970685832,2020-10-06T10:51:25.832,2.660,0.044,-0.016,1.018
1601970685852,2020-10-06T10:51:25.852,2.680,0.042,-0.016,1.014
1601970685872,2020-10-06T10:51:25.872,2.700,0.042,-0.014,1.017
1601970685892,2020-10-06T10:51:25.892,2.720,0.040,-0.014,1.019
1601970685912,2020-10-06T10:51:25.912,2.740,0.040,-0.015,1.018
1601970685932,2020-10-06T10:51:25.932,2.760,0.042,-0.015,1.018
1601970685952,2020-10-06T10:51:25.952,2.780,0.043,-0.016,1.019
1601970685972,2020-10-06T10:51:25.972,2.800,0.041,-0.015,1.016
1601970685992,2020-10-06T10:51:25.992,2.820,0.038,-0.016,1.011
1601970686012,2020-10-06T10:51:26.012,2.840,0.047,-0.017,1.023
1601970686032,2020-10-06T10:51:26.032,2.860,0.046,-0.016,1.022
1601970686052,2020-10-06T10:51:26.052,2.880,0.041,-0.014,1.015
1601970686072,2020-10-06T10:51:26.072,2.900,0.039,-0.016,1.016
1601970686092,2020-10-06T10:51:26.092,2.920,0.041,-0.018,1.018
1601970686112,2020-10-06T10:51:26.112,2.940,0.044,-0.015,1.019
1601970686132,2020-10-06T10:51:26.132,2.960,0.048,-0.015,1.021
1601970686152,2020-10-06T10:51:26.152,2.980,0.048,-0.016,1.021
1601970686172,2020-10-06T10:51:26.172,3.000,0.044,-0.016,1.019
1601970686192,2020-10-06T10:51:26.192,3.020,0.041,-0.016,1.016
1601970686212,2020-10-06T10:51:26.212,3.040,0.037,-0.017,1.012
1601970686232,2020-10-06T10:51:26.232,3.060,0.034,-0.015,1.015
1601970686252,2020-10-06T10:51:26.252,3.080,0.042,-0.015,1.020
1601970686272,2020-10-06T10:51:26.272,3.100,0.046,-0.017,1.020
1601970686292,2020-10-06T10:51:26.292,3.120,0.044,-0.018,1.015
1601970686312,2020-10-06T10:51:26.312,3.140,0.043,-0.014,1.019
1601970686332,2020-10-06T10:51:26.332,3.160,0.046,-0.015,1.022
