epoch (ms),time (06:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1601970698472,2020-10-06T10:51:38.472,15.300,0.048,-0.021,1.017
1601970698492,2020-10-06T10:51:38.492,15.320,0.052,-0.019,1.018
1601970698512,2020-10-06T10:51:38.512,15.340,0.061,-0.019,1.019
1601970698532,2020-10-06T10:51:38.532,15.360,0.063,-0.021,1.020
1601970698552,2020-10-06T10:51:38.552,15.380,0.053,-0.021,1.019
1601970698572,2020-10-06T10:51:38.572,15.400,0.049,-0.019,1.016
1601970698592,2020-10-06T10:51:38.592,15.420,0.055,-0.019,1.017
1601970698612,2020-10-06T10:51:38.612,15.440,0.060,-0.022,1.019
1601970698632,2020-10-06T10:51:38.632,15.460,0.056,-0.022,1.015
1601970698652,2020-10-06T10:51:38.652,15.480,0.053,-0.020,1.016
1601970698672,2020-10-06T10:51:38.672,15.500,0.056,-0.021,1.017
1601970698692,2020-10-06T10:51:38.692,15.520,0.057,-0.020,1.016
1601970698712,2020-10-06T10:51:38.712,15.540,0.055,-0.019,1.015
1601970698732,2020-10-06T10:51:38.732,15.560,0.054,-0.020,1.019
1601970698752,2020-10-06T10:51:38.752,15.580,0.056,-0.021,1.019
1601970698772,2020-10-06T10:51:38.772,15.600,0.056,-0.021,1.014
1601970698792,2020-10-06T10:51:38.792,15.620,0.055,-0.021,1.017
1601970698812,2020-10-06T10:51:38.812,15.640,0.055,-0.020,1.018
1601970698832,2020-10-06T10:51:38.832,15.660,0.055,-0.021,1.016
1601970698852,2020-10-06T10:51:38.852,15.680,0.055,-0.021,1.017
1601970698872,2020-10-06T10:51:38.872,15.700,0.056,-0.023,1.018
1601970698892,2020-10-06T10:51:38.892,15.720,0.057,-0.021,1.019
1601970698912,2020-10-06T10:51:38.912,15.740,0.055,-0.021,1.017
1601970698932,2020-10-06T10:51:38.932,15.760,0.051,-0.021,1.016
1601970698952,2020-10-06T10:51:38.952,15.780,0.053,-0.021,1.016
1601970698972,2020-10-06T10:51:38.972,15.800,0.059,-0.021,1.018
1601970698992,2020-10-06T10:51:38.992,15.820,0.060,-0.021,1.017
1601970699012,2020-10-06T10:51:39.012,15.840,0.056,-0.021,1.015
1601970699032,2020-10-06T10:51:39.032,15.860,0.054,-0.021,1.013
1601970699052,2020-10-06T10:51:39.052,15.880,0.055,-0.021,1.018
1601970699072,2020-10-06T10:51:39.072,15.900,0.061,-0.020,1.021
1601970699092,2020-10-06T10:51:39.092,15.920,0.055,-0.020,1.019
1601970699112,2020-10-06T10:51:39.112,15.940,0.049,-0.021,1.013
1601970699132,2020-10-06T10:51:39.132,15.960,0.057,-0.022,1.015
1601970699152,2020-10-06T10:51:39.152,15.980,0.063,-0.022,1.022
1601970699172,2020-10-06T10:51:39.172,16.000,0.061,-0.022,1.020
1601970699192,2020-10-06T10:51:39.192,16.020,0.054,-0.022,1.016
1601970699212,2020-10-06T10:51:39.212,16.040,0.050,-0.022,1.014
1601970699232,2020-10-06T10:51:39.232,16.060,0.051,-0.021,1.016
1601970699252,2020-10-06T10:51:39.252,16.080,0.056,-0.021,1.017
1601970699272,2020-10-06T10:51:39.272,16.100,0.059,-0.022,1.020
1601970699292,2020-10-06T10:51:39.292,16.120,0.060,-0.021,1.017
1601970699312,2020-10-06T10:51:39.312,16.140,0.058,-0.023,1.017
1601970699332,2020-10-06T10:51:39.332,16.160,0.055,-0.021,1.016
1601970699352,2020-10-06T10:51:39.352,16.180,0.054,-0.021,1.015
1601970699372,2020-10-06T10:51:39.372,16.200,0.055,-0.022,1.019
1601970699392,2020-10-06T10:51:39.392,16.220,0.054,-0.022,1.018
1601970699412,2020-10-06T10:51:39.412,16.240,0.054,-0.021,1.015
1601970699432,2020-10-06T10:51:39.432,16.260,0.058,-0.022,1.016
1601970699452,2020-10-06T10:51:39.452,16.280,0.060,-0.021,1.017
1601970699472,2020-10-06T10:51:39.472,16.300,0.056,-0.021,1.016
1601970699492,2020-10-06T10:51:39.492,16.320,0.052,-0.021,1.016
1601970699512,2020-10-06T10:51:39.512,16.340,0.059,-0.023,1.017
1601970699532,2020-10-06T10:51:39.532,16.360,0.059,-0.023,1.020
1601970699552,2020-10-06T10:51:39.552,16.380,0.050,-0.021,1.019
1601970699572,2020-10-06T10:51:39.572,16.400,0.053,-0.020,1.016
1601970699592,2020-10-06T10:51:39.592,16.420,0.062,-0.023,1.021
1601970699612,2020-10-06T10:51:39.612,16.440,0.060,-0.023,1.019
1601970699632,2020-10-06T10:51:39.632,16.460,0.051,-0.022,1.016
1601970699652,2020-10-06T10:51:39.652,16.480,0.055,-0.020,1.015
1601970699672,2020-10-06T10:51:39.672,16.500,0.060,-0.021,1.018
1601970699692,2020-10-06T10:51:39.692,16.520,0.057,-0.021,1.016
1601970699712,2020-10-06T10:51:39.712,16.540,0.056,-0.022,1.016
1601970699732,2020-10-06T10:51:39.732,16.560,0.058,-0.021,1.017
1601970699752,2020-10-06T10:51:39.752,16.580,0.054,-0.023,1.018
1601970699772,2020-10-06T10:51:39.772,16.600,0.049,-0.022,1.016
1601970699792,2020-10-06T10:51:39.792,16.620,0.056,-0.021,1.018
1601970699812,2020-10-06T10:51:39.812,16.640,0.062,-0.023,1.021
1601970699832,2020-10-06T10:51:39.832,16.660,0.060,-0.025,1.019
1601970699852,2020-10-06T10:51:39.852,16.680,0.058,-0.023,1.016
1601970699872,2020-10-06T10:51:39.872,16.700,0.054,-0.020,1.019
1601970699892,2020-10-06T10:51:39.892,16.720,0.051,-0.018,1.020
1601970699912,2020-10-06T10:51:39.912,16.740,0.050,-0.020,1.016
1601970699932,2020-10-06T10:51:39.932,16.760,0.056,-0.021,1.015
1601970699952,2020-10-06T10:51:39.952,16.780,0.060,-0.022,1.018
1601970699972,2020-10-06T10:51:39.972,16.800,0.060,-0.023,1.020
1601970699992,2020-10-06T10:51:39.992,16.820,0.060,-0.022,1.017
1601970700012,2020-10-06T10:51:40.012,16.840,0.053,-0.021,1.015
1601970700032,2020-10-06T10:51:40.032,16.860,0.050,-0.020,1.013
1601970700052,2020-10-06T10:51:40.052,16.880,0.055,-0.021,1.016
1601970700072,2020-10-06T10:51:40.072,16.900,0.062,-0.022,1.021
1601970700092,2020-10-06T10:51:40.092,16.920,0.061,-0.021,1.020
1601970700112,2020-10-06T10:51:40.112,16.940,0.054,-0.022,1.013
1601970700132,2020-10-06T10:51:40.132,16.960,0.053,-0.024,1.017
1601970700152,2020-10-06T10:51:40.152,16.980,0.058,-0.023,1.015
1601970700172,2020-10-06T10:51:40.172,17.000,0.059,-0.021,1.018
1601970700192,2020-10-06T10:51:40.192,17.020,0.053,-0.021,1.017
1601970700212,2020-10-06T10:51:40.212,17.040,0.052,-0.022,1.015
1601970700232,2020-10-06T10:51:40.232,17.060,0.059,-0.022,1.016
1601970700252,2020-10-06T10:51:40.252,17.080,0.059,-0.024,1.016
1601970700272,2020-10-06T10:51:40.272,17.100,0.054,-0.021,1.017
1601970700292,2020-10-06T10:51:40.292,17.120,0.052,-0.021,1.018
1601970700312,2020-10-06T10:51:40.312,17.140,0.055,-0.021,1.016
1601970700332,2020-10-06T10:51:40.332,17.160,0.057,-0.021,1.016
1601970700352,2020-10-06T10:51:40.352,17.180,0.057,-0.021,1.018
1601970700372,2020-10-06T10:51:40.372,17.200,0.057,-0.022,1.018
1601970700392,2020-10-06T10:51:40.392,17.220,0.059,-0.023,1.017
1601970700412,2020-10-06T10:51:40.412,17.240,0.057,-0.023,1.016
1601970700432,2020-10-06T10:51:40.432,17.260,0.053,-0.021,1.017
1601970700452,2020-10-06T10:51:40.452,17.280,0.054,-0.021,1.015
1601970700472,2020-10-06T10:51:40.472,17.300,0.058,-0.021,1.018
1601970700492,2020-10-06T10:51:40.492,17.320,0.060,-0.023,1.020
1601970700512,2020-10-06T10:51:40.512,17.340,0.058,-0.022,1.017
1601970700532,2020-10-06T10:51:40.532,17.360,0.054,-0.023,1.015
1601970700552,2020-10-06T10:51:40.552,17.380,0.053,-0.024,1.016
1601970700572,2020-10-06T10:51:40.572,17.400,0.053,-0.023,1.017
1601970700592,2020-10-06T10:51:40.592,17.420,0.056,-0.021,1.015
1601970700612,2020-10-06T10:51:40.612,17.440,0.061,-0.022,1.018
1601970700632,2020-10-06T10:51:40.632,17.460,0.059,-0.022,1.018
1601970700652,2020-10-06T10:51:40.652,17.480,0.054,-0.023,1.014
1601970700672,2020-10-06T10:51:40.672,17.500,0.055,-0.021,1.014
1601970700692,2020-10-06T10:51:40.692,17.520,0.063,-0.019,1.021
1601970700712,2020-10-06T10:51:40.712,17.540,0.057,-0.021,1.020
1601970700732,2020-10-06T10:51:40.732,17.560,0.049,-0.022,1.012
1601970700752,2020-10-06T10:51:40.752,17.580,0.054,-0.021,1.014
1601970700772,2020-10-06T10:51:40.772,17.600,0.065,-0.022,1.019
1601970700792,2020-10-06T10:51:40.792,17.620,0.063,-0.024,1.021
1601970700812,2020-10-06T10:51:40.812,17.640,0.055,-0.022,1.016
1601970700832,2020-10-06T10:51:40.832,17.660,0.055,-0.023,1.012
1601970700852,2020-10-06T10:51:40.852,17.680,0.054,-0.022,1.016
1601970700872,2020-10-06T10:51:40.872,17.700,0.055,-0.020,1.018
1601970700892,2020-10-06T10:51:40.892,17.720,0.060,-0.020,1.018
1601970700912,2020-10-06T10:51:40.912,17.740,0.061,-0.022,1.017
1601970700932,2020-10-06T10:51:40.932,17.760,0.058,-0.022,1.016
1601970700952,2020-10-06T10:51:40.952,17.780,0.053,-0.021,1.015
1601970700972,2020-10-06T10:51:40.972,17.800,0.056,-0.021,1.014
1601970700992,2020-10-06T10:51:40.992,17.820,0.062,-0.022,1.020
1601970701012,2020-10-06T10:51:41.012,17.840,0.056,-0.020,1.016
1601970701032,2020-10-06T10:51:41.032,17.860,0.053,-0.021,1.013
1601970701052,2020-10-06T10:51:41.052,17.880,0.058,-0.021,1.017
1601970701072,2020-10-06T10:51:41.072,17.900,0.063,-0.022,1.021
1601970701092,2020-10-06T10:51:41.092,17.920,0.058,-0.023,1.019
1601970701112,2020-10-06T10:51:41.112,17.940,0.055,-0.020,1.015
1601970701132,2020-10-06T10:51:41.132,17.960,0.058,-0.022,1.015
1601970701152,2020-10-06T10:51:41.152,17.980,0.057,-0.022,1.018
1601970701172,2020-10-06T10:51:41.172,18.000,0.055,-0.021,1.017
1601970701192,2020-10-06T10:51:41.192,18.020,0.055,-0.021,1.015
1601970701212,2020-10-06T10:51:41.212,18.040,0.061,-0.021,1.016
1601970701232,2020-10-06T10:51:41.232,18.060,0.059,-0.021,1.017
1601970701252,2020-10-06T10:51:41.252,18.080,0.058,-0.023,1.018
1601970701272,2020-10-06T10:51:41.272,18.100,0.060,-0.022,1.018
1601970701292,2020-10-06T10:51:41.292,18.120,0.057,-0.021,1.018
1601970701312,2020-10-06T10:51:41.312,18.140,0.052,-0.021,1.015
1601970701332,2020-10-06T10:51:41.332,18.160,0.057,-0.021,1.017
1601970701352,2020-10-06T10:51:41.352,18.180,0.059,-0.022,1.018
1601970701372,2020-10-06T10:51:41.372,18.200,0.060,-0.022,1.017
1601970701392,2020-10-06T10:51:41.392,18.220,0.057,-0.022,1.018
1601970701412,2020-10-06T10:51:41.412,18.240,0.052,-0.023,1.014
1601970701432,2020-10-06T10:51:41.432,18.260,0.056,-0.022,1.015
1601970701452,2020-10-06T10:51:41.452,18.280,0.064,-0.021,1.021
1601970701472,2020-10-06T10:51:41.472,18.300,0.057,-0.021,1.022
1601970701492,2020-10-06T10:51:41.492,18.320,0.046,-0.020,1.012
1601970701512,2020-10-06T10:51:41.512,18.340,0.055,-0.021,1.012
1601970701532,2020-10-06T10:51:41.532,18.360,0.066,-0.023,1.019
1601970701552,2020-10-06T10:51:41.552,18.380,0.064,-0.024,1.019
1601970701572,2020-10-06T10:51:41.572,18.400,0.054,-0.022,1.016
1601970701592,2020-10-06T10:51:41.592,18.420,0.052,-0.021,1.017
1601970701612,2020-10-06T10:51:41.612,18.440,0.052,-0.020,1.016
1601970701632,2020-10-06T10:51:41.632,18.460,0.052,-0.021,1.017
1601970701652,2020-10-06T10:51:41.652,18.480,0.064,-0.024,1.020
1601970701672,2020-10-06T10:51:41.672,18.500,0.069,-0.025,1.021
1601970701692,2020-10-06T10:51:41.692,18.520,0.054,-0.022,1.019
1601970701712,2020-10-06T10:51:41.712,18.540,0.050,-0.022,1.013
1601970701732,2020-10-06T10:51:41.732,18.560,0.057,-0.021,1.015
1601970701752,2020-10-06T10:51:41.752,18.580,0.063,-0.023,1.017
1601970701772,2020-10-06T10:51:41.772,18.600,0.057,-0.023,1.018
1601970701792,2020-10-06T10:51:41.792,18.620,0.056,-0.023,1.016
1601970701812,2020-10-06T10:51:41.812,18.640,0.060,-0.024,1.018
1601970701832,2020-10-06T10:51:41.832,18.660,0.061,-0.023,1.020
1601970701852,2020-10-06T10:51:41.852,18.680,0.056,-0.022,1.018
1601970701872,2020-10-06T10:51:41.872,18.700,0.053,-0.021,1.016
1601970701892,2020-10-06T10:51:41.892,18.720,0.058,-0.022,1.015
1601970701912,2020-10-06T10:51:41.912,18.740,0.059,-0.024,1.018
1601970701932,2020-10-06T10:51:41.932,18.760,0.057,-0.021,1.019
1601970701952,2020-10-06T10:51:41.952,18.780,0.057,-0.021,1.018
1601970701972,2020-10-06T10:51:41.972,18.800,0.059,-0.022,1.018
1601970701992,2020-10-06T10:51:41.992,18.820,0.061,-0.022,1.016
1601970702012,2020-10-06T10:51:42.012,18.840,0.056,-0.021,1.019
1601970702032,2020-10-06T10:51:42.032,18.860,0.057,-0.021,1.018
1601970702052,2020-10-06T10:51:42.052,18.880,0.057,-0.020,1.017
1601970702072,2020-10-06T10:51:42.072,18.900,0.058,-0.023,1.015
1601970702092,2020-10-06T10:51:42.092,18.920,0.061,-0.024,1.015
1601970702112,2020-10-06T10:51:42.112,18.940,0.059,-0.023,1.015
1601970702132,2020-10-06T10:51:42.132,18.960,0.059,-0.023,1.017
1601970702152,2020-10-06T10:51:42.152,18.980,0.056,-0.024,1.015
1601970702172,2020-10-06T10:51:42.172,19.000,0.057,-0.024,1.015
1601970702192,2020-10-06T10:51:42.192,19.020,0.059,-0.022,1.018
1601970702212,2020-10-06T10:51:42.212,19.040,0.058,-0.022,1.022
1601970702232,2020-10-06T10:51:42.232,19.060,0.053,-0.022,1.017
1601970702252,2020-10-06T10:51:42.252,19.080,0.055,-0.024,1.013
1601970702272,2020-10-06T10:51:42.272,19.100,0.063,-0.023,1.017
1601970702292,2020-10-06T10:51:42.292,19.120,0.063,-0.023,1.021
1601970702312,2020-10-06T10:51:42.312,19.140,0.061,-0.022,1.017
1601970702332,2020-10-06T10:51:42.332,19.160,0.058,-0.023,1.013
1601970702352,2020-10-06T10:51:42.352,19.180,0.055,-0.022,1.013
1601970702372,2020-10-06T10:51:42.372,19.200,0.053,-0.021,1.017
1601970702392,2020-10-06T10:51:42.392,19.220,0.058,-0.022,1.018
1601970702412,2020-10-06T10:51:42.412,19.240,0.065,-0.024,1.019
1601970702432,2020-10-06T10:51:42.432,19.260,0.061,-0.023,1.018
1601970702452,2020-10-06T10:51:42.452,19.280,0.054,-0.022,1.017
1601970702472,2020-10-06T10:51:42.472,19.300,0.057,-0.022,1.016
1601970702492,2020-10-06T10:51:42.492,19.320,0.063,-0.022,1.015
1601970702512,2020-10-06T10:51:42.512,19.340,0.061,-0.023,1.015
1601970702532,2020-10-06T10:51:42.532,19.360,0.054,-0.023,1.014
1601970702552,2020-10-06T10:51:42.552,19.380,0.054,-0.023,1.014
1601970702572,2020-10-06T10:51:42.572,19.400,0.062,-0.024,1.018
1601970702592,2020-10-06T10:51:42.592,19.420,0.064,-0.023,1.019
1601970702612,2020-10-06T10:51:42.612,19.440,0.061,-0.024,1.018
1601970702632,2020-10-06T10:51:42.632,19.460,0.055,-0.022,1.014
1601970702652,2020-10-06T10:51:42.652,19.480,0.054,-0.021,1.013
1601970702672,2020-10-06T10:51:42.672,19.500,0.060,-0.022,1.017
1601970702692,2020-10-06T10:51:42.692,19.520,0.060,-0.023,1.016
1601970702712,2020-10-06T10:51:42.712,19.540,0.058,-0.024,1.017
1601970702732,2020-10-06T10:51:42.732,19.560,0.060,-0.023,1.018
1601970702752,2020-10-06T10:51:42.752,19.580,0.059,-0.023,1.018
1601970702772,2020-10-06T10:51:42.772,19.600,0.056,-0.021,1.016
1601970702792,2020-10-06T10:51:42.792,19.620,0.056,-0.022,1.016
1601970702812,2020-10-06T10:51:42.812,19.640,0.061,-0.023,1.019
1601970702832,2020-10-06T10:51:42.832,19.660,0.063,-0.025,1.020
1601970702852,2020-10-06T10:51:42.852,19.680,0.061,-0.023,1.016
1601970702872,2020-10-06T10:51:42.872,19.700,0.052,-0.023,1.013
1601970702892,2020-10-06T10:51:42.892,19.720,0.055,-0.021,1.018
1601970702912,2020-10-06T10:51:42.912,19.740,0.062,-0.024,1.019
1601970702932,2020-10-06T10:51:42.932,19.760,0.062,-0.023,1.018
1601970702952,2020-10-06T10:51:42.952,19.780,0.058,-0.024,1.015
1601970702972,2020-10-06T10:51:42.972,19.800,0.061,-0.023,1.014
1601970702992,2020-10-06T10:51:42.992,19.820,0.061,-0.021,1.021
1601970703012,2020-10-06T10:51:43.012,19.840,0.058,-0.020,1.020
1601970703032,2020-10-06T10:51:43.032,19.860,0.053,-0.022,1.014
1601970703052,2020-10-06T10:51:43.052,19.880,0.057,-0.024,1.013
1601970703072,2020-10-06T10:51:43.072,19.900,0.062,-0.023,1.017
1601970703092,2020-10-06T10:51:43.092,19.920,0.063,-0.023,1.019
1601970703112,2020-10-06T10:51:43.112,19.940,0.061,-0.024,1.017
1601970703132,2020-10-06T10:51:43.132,19.960,0.058,-0.024,1.018
1601970703152,2020-10-06T10:51:43.152,19.980,0.055,-0.022,1.017
1601970703172,2020-10-06T10:51:43.172,20.000,0.054,-0.021,1.016
1601970703192,2020-10-06T10:51:43.192,20.020,0.064,-0.022,1.020
1601970703212,2020-10-06T10:51:43.212,20.040,0.068,-0.023,1.020
1601970703232,2020-10-06T10:51:43.232,20.060,0.059,-0.022,1.019
1601970703252,2020-10-06T10:51:43.252,20.080,0.055,-0.021,1.018
1601970703272,2020-10-06T10:51:43.272,20.100,0.058,-0.023,1.017
1601970703292,2020-10-06T10:51:43.292,20.120,0.059,-0.023,1.018
1601970703312,2020-10-06T10:51:43.312,20.140,0.058,-0.022,1.020
1601970703332,2020-10-06T10:51:43.332,20.160,0.055,-0.022,1.016
1601970703352,2020-10-06T10:51:43.352,20.180,0.057,-0.022,1.015
1601970703372,2020-10-06T10:51:43.372,20.200,0.063,-0.025,1.017
1601970703392,2020-10-06T10:51:43.392,20.220,0.062,-0.023,1.017
1601970703412,2020-10-06T10:51:43.412,20.240,0.059,-0.023,1.015
1601970703432,2020-10-06T10:51:43.432,20.260,0.055,-0.022,1.015
1601970703452,2020-10-06T10:51:43.452,20.280,0.056,-0.021,1.017
1601970703472,2020-10-06T10:51:43.472,20.300,0.059,-0.023,1.017
1601970703492,2020-10-06T10:51:43.492,20.320,0.061,-0.022,1.017
1601970703512,2020-10-06T10:51:43.512,20.340,0.061,-0.023,1.017
1601970703532,2020-10-06T10:51:43.532,20.360,0.061,-0.024,1.017
1601970703552,2020-10-06T10:51:43.552,20.380,0.058,-0.023,1.016
1601970703572,2020-10-06T10:51:43.572,20.400,0.055,-0.021,1.016
1601970703592,2020-10-06T10:51:43.592,20.420,0.055,-0.022,1.017
1601970703612,2020-10-06T10:51:43.612,20.440,0.058,-0.022,1.014
1601970703632,2020-10-06T10:51:43.632,20.460,0.061,-0.023,1.015
1601970703652,2020-10-06T10:51:43.652,20.480,0.061,-0.024,1.019
1601970703672,2020-10-06T10:51:43.672,20.500,0.058,-0.023,1.017
1601970703692,2020-10-06T10:51:43.692,20.520,0.055,-0.022,1.015
1601970703712,2020-10-06T10:51:43.712,20.540,0.057,-0.022,1.014
1601970703732,2020-10-06T10:51:43.732,20.560,0.062,-0.023,1.017
1601970703752,2020-10-06T10:51:43.752,20.580,0.063,-0.023,1.019
1601970703772,2020-10-06T10:51:43.772,20.600,0.056,-0.023,1.016
1601970703792,2020-10-06T10:51:43.792,20.620,0.056,-0.023,1.014
1601970703812,2020-10-06T10:51:43.812,20.640,0.063,-0.021,1.020
1601970703832,2020-10-06T10:51:43.832,20.660,0.063,-0.020,1.023
1601970703852,2020-10-06T10:51:43.852,20.680,0.052,-0.021,1.015
1601970703872,2020-10-06T10:51:43.872,20.700,0.054,-0.022,1.014
1601970703892,2020-10-06T10:51:43.892,20.720,0.065,-0.023,1.018
1601970703912,2020-10-06T10:51:43.912,20.740,0.068,-0.024,1.021
1601970703932,2020-10-06T10:51:43.932,20.760,0.060,-0.024,1.017
1601970703952,2020-10-06T10:51:43.952,20.780,0.051,-0.022,1.013
1601970703972,2020-10-06T10:51:43.972,20.800,0.052,-0.021,1.016
1601970703992,2020-10-06T10:51:43.992,20.820,0.058,-0.022,1.016
1601970704012,2020-10-06T10:51:44.012,20.840,0.063,-0.021,1.016
1601970704032,2020-10-06T10:51:44.032,20.860,0.065,-0.026,1.019
1601970704052,2020-10-06T10:51:44.052,20.880,0.062,-0.023,1.017
1601970704072,2020-10-06T10:51:44.072,20.900,0.056,-0.021,1.016
1601970704092,2020-10-06T10:51:44.092,20.920,0.055,-0.021,1.018
1601970704112,2020-10-06T10:51:44.112,20.940,0.059,-0.022,1.019
1601970704132,2020-10-06T10:51:44.132,20.960,0.061,-0.022,1.019
1601970704152,2020-10-06T10:51:44.152,20.980,0.059,-0.023,1.014
1601970704172,2020-10-06T10:51:44.172,21.000,0.056,-0.022,1.015
1601970704192,2020-10-06T10:51:44.192,21.020,0.062,-0.023,1.018
1601970704212,2020-10-06T10:51:44.212,21.040,0.065,-0.023,1.021
1601970704232,2020-10-06T10:51:44.232,21.060,0.060,-0.022,1.021
1601970704252,2020-10-06T10:51:44.252,21.080,0.057,-0.022,1.013
1601970704272,2020-10-06T10:51:44.272,21.100,0.059,-0.022,1.015
1601970704292,2020-10-06T10:51:44.292,21.120,0.058,-0.022,1.020
1601970704312,2020-10-06T10:51:44.312,21.140,0.055,-0.021,1.014
1601970704332,2020-10-06T10:51:44.332,21.160,0.055,-0.021,1.014
1601970704352,2020-10-06T10:51:44.352,21.180,0.062,-0.023,1.017
1601970704372,2020-10-06T10:51:44.372,21.200,0.063,-0.023,1.020
1601970704392,2020-10-06T10:51:44.392,21.220,0.056,-0.022,1.018
1601970704412,2020-10-06T10:51:44.412,21.240,0.056,-0.023,1.016
1601970704432,2020-10-06T10:51:44.432,21.260,0.057,-0.021,1.017
1601970704452,2020-10-06T10:51:44.452,21.280,0.060,-0.024,1.017
1601970704472,2020-10-06T10:51:44.472,21.300,0.060,-0.025,1.020
1601970704492,2020-10-06T10:51:44.492,21.320,0.061,-0.024,1.019
1601970704512,2020-10-06T10:51:44.512,21.340,0.059,-0.021,1.017
1601970704532,2020-10-06T10:51:44.532,21.360,0.055,-0.022,1.015
1601970704552,2020-10-06T10:51:44.552,21.380,0.058,-0.022,1.015
1601970704572,2020-10-06T10:51:44.572,21.400,0.063,-0.022,1.020
1601970704592,2020-10-06T10:51:44.592,21.420,0.058,-0.020,1.020
1601970704612,2020-10-06T10:51:44.612,21.440,0.050,-0.021,1.014
1601970704632,2020-10-06T10:51:44.632,21.460,0.057,-0.023,1.015
1601970704652,2020-10-06T10:51:44.652,21.480,0.064,-0.024,1.020
1601970704672,2020-10-06T10:51:44.672,21.500,0.066,-0.025,1.018
1601970704692,2020-10-06T10:51:44.692,21.520,0.060,-0.023,1.017
1601970704712,2020-10-06T10:51:44.712,21.540,0.052,-0.022,1.016
1601970704732,2020-10-06T10:51:44.732,21.560,0.050,-0.021,1.016
1601970704752,2020-10-06T10:51:44.752,21.580,0.058,-0.021,1.015
1601970704772,2020-10-06T10:51:44.772,21.600,0.063,-0.023,1.020
1601970704792,2020-10-06T10:51:44.792,21.620,0.063,-0.023,1.020
1601970704812,2020-10-06T10:51:44.812,21.640,0.061,-0.023,1.019
1601970704832,2020-10-06T10:51:44.832,21.660,0.055,-0.024,1.015
1601970704852,2020-10-06T10:51:44.852,21.680,0.055,-0.021,1.015
1601970704872,2020-10-06T10:51:44.872,21.700,0.061,-0.022,1.017
1601970704892,2020-10-06T10:51:44.892,21.720,0.062,-0.025,1.019
1601970704912,2020-10-06T10:51:44.912,21.740,0.056,-0.024,1.018
1601970704932,2020-10-06T10:51:44.932,21.760,0.059,-0.023,1.015
1601970704952,2020-10-06T10:51:44.952,21.780,0.063,-0.024,1.015
1601970704972,2020-10-06T10:51:44.972,21.800,0.062,-0.024,1.014
1601970704992,2020-10-06T10:51:44.992,21.820,0.056,-0.023,1.015
1601970705012,2020-10-06T10:51:45.012,21.840,0.056,-0.021,1.015
1601970705032,2020-10-06T10:51:45.032,21.860,0.061,-0.022,1.018
1601970705052,2020-10-06T10:51:45.052,21.880,0.062,-0.025,1.019
1601970705072,2020-10-06T10:51:45.072,21.900,0.057,-0.024,1.016
1601970705092,2020-10-06T10:51:45.092,21.920,0.058,-0.022,1.015
1601970705112,2020-10-06T10:51:45.112,21.940,0.063,-0.024,1.019
1601970705132,2020-10-06T10:51:45.132,21.960,0.062,-0.023,1.018
1601970705152,2020-10-06T10:51:45.152,21.980,0.056,-0.022,1.014
1601970705172,2020-10-06T10:51:45.172,22.000,0.058,-0.022,1.015
1601970705192,2020-10-06T10:51:45.192,22.020,0.060,-0.024,1.019
1601970705212,2020-10-06T10:51:45.212,22.040,0.059,-0.024,1.018
1601970705232,2020-10-06T10:51:45.232,22.060,0.057,-0.024,1.016
1601970705252,2020-10-06T10:51:45.252,22.080,0.062,-0.024,1.016
1601970705272,2020-10-06T10:51:45.272,22.100,0.060,-0.024,1.015
1601970705292,2020-10-06T10:51:45.292,22.120,0.055,-0.023,1.017
1601970705312,2020-10-06T10:51:45.312,22.140,0.059,-0.022,1.014
1601970705332,2020-10-06T10:51:45.332,22.160,0.063,-0.023,1.017
1601970705352,2020-10-06T10:51:45.352,22.180,0.064,-0.021,1.023
1601970705372,2020-10-06T10:51:45.372,22.200,0.057,-0.022,1.017
1601970705392,2020-10-06T10:51:45.392,22.220,0.051,-0.024,1.013
1601970705412,2020-10-06T10:51:45.412,22.240,0.056,-0.025,1.015
1601970705432,2020-10-06T10:51:45.432,22.260,0.064,-0.023,1.019
1601970705452,2020-10-06T10:51:45.452,22.280,0.064,-0.023,1.017
1601970705472,2020-10-06T10:51:45.472,22.300,0.058,-0.024,1.014
1601970705492,2020-10-06T10:51:45.492,22.320,0.054,-0.023,1.015
1601970705512,2020-10-06T10:51:45.512,22.340,0.055,-0.023,1.015
1601970705532,2020-10-06T10:51:45.532,22.360,0.057,-0.022,1.017
1601970705552,2020-10-06T10:51:45.552,22.380,0.063,-0.025,1.016
1601970705572,2020-10-06T10:51:45.572,22.400,0.062,-0.025,1.016
1601970705592,2020-10-06T10:51:45.592,22.420,0.059,-0.023,1.015
1601970705612,2020-10-06T10:51:45.612,22.440,0.055,-0.024,1.015
1601970705632,2020-10-06T10:51:45.632,22.460,0.059,-0.022,1.015
1601970705652,2020-10-06T10:51:45.652,22.480,0.061,-0.024,1.016
1601970705672,2020-10-06T10:51:45.672,22.500,0.057,-0.023,1.018
1601970705692,2020-10-06T10:51:45.692,22.520,0.055,-0.022,1.015
1601970705712,2020-10-06T10:51:45.712,22.540,0.057,-0.025,1.015
1601970705732,2020-10-06T10:51:45.732,22.560,0.062,-0.025,1.017
1601970705752,2020-10-06T10:51:45.752,22.580,0.063,-0.024,1.017
1601970705772,2020-10-06T10:51:45.772,22.600,0.059,-0.021,1.018
1601970705792,2020-10-06T10:51:45.792,22.620,0.056,-0.021,1.016
